Equation : x - 3
Method : General_Method
Max Iteration : 50
Epsilon : 1.000000e-05


   I                      A                      B                      C                      M                     Ea
   -                      -                      -                      -                      -                     --

   1       3.0500000000e+00       2.9500000000e+00       3.0500000000e+00             0000000003       1.0000000000e-01
   2       3.0500000000e+00             0000000003       2.9500000000e+00             0000000003       5.0000000000e-02
   3       3.0500000000e+00       2.9750000000e+00             0000000003       2.9750000000e+00       2.5000000000e-02
   4       2.9750000000e+00       2.9875000000e+00             0000000003       2.9875000000e+00       1.2500000000e-02
   5       2.9875000000e+00       2.9937500000e+00             0000000003       2.9937500000e+00       6.2500000000e-03
   6       2.9937500000e+00       2.9968750000e+00             0000000003       2.9968750000e+00       3.1250000000e-03
   7       2.9968750000e+00       2.9984375000e+00             0000000003       2.9984375000e+00       1.5625000000e-03
   8       2.9984375000e+00       2.9992187500e+00             0000000003       2.9992187500e+00       7.8125000000e-04
   9       2.9992187500e+00       2.9996093750e+00             0000000003       2.9996093750e+00       3.9062500000e-04
  10       2.9996093750e+00       2.9998046875e+00             0000000003       2.9998046875e+00       1.9531250000e-04
  11       2.9998046875e+00       2.9999023438e+00             0000000003       2.9999023438e+00       9.7656250000e-05
  12       2.9999023438e+00       2.9999511719e+00             0000000003       2.9999511719e+00       4.8828125000e-05
  13       2.9999511719e+00       2.9999755859e+00             0000000003       2.9999755859e+00       2.4414062500e-05
  14       2.9999755859e+00       2.9999877930e+00             0000000003       2.9999877930e+00       1.2207031250e-05
  15       2.9999877930e+00       2.9999938965e+00             0000000003       2.9999938965e+00       6.1035156249e-06
