Equation 1 : 8*a + 4*b - c - 11
Equation 2 : -2*a + 3*b + c - 4
Equation 3 : 2*a - b + 6*c - 7
Method : Gauss-Seidel
Initial Points : 1 1.1 2


                     A                     Ea                      B                     Eb                      C                     Ec
                     -                     --                      -                     --                      -                     --

          1.075000e+00           7.500000e-02           1.383333e+00           2.833333e-01           1.038889e+00           9.611111e-01
          8.131944e-01           2.618056e-01           1.529167e+00           1.458333e-01           1.150463e+00           1.115741e-01
          7.542245e-01           5.896991e-02           1.452662e+00           7.650463e-02           1.157369e+00           6.905864e-03
          7.933401e-01           3.911555e-02           1.476437e+00           2.377508e-02           1.148293e+00           9.076003e-03
          7.803180e-01           1.302204e-02           1.470781e+00           5.656025e-03           1.151691e+00           3.398009e-03
          7.835708e-01           3.252764e-03           1.471817e+00           1.035839e-03           1.150779e+00           9.116146e-04
          7.829389e-01           6.318715e-04           1.471700e+00           1.173762e-04           1.150970e+00           1.910612e-04
          7.830215e-01           8.257072e-05           1.471691e+00           8.639903e-06           1.150941e+00           2.896356e-05
          7.830222e-01           6.995065e-07           1.471701e+00           1.012086e-05           1.150943e+00           1.453641e-06
          7.830173e-01           4.878724e-06           1.471697e+00           3.737029e-06           1.150944e+00           1.003403e-06
